"ENTITY","ID","CODE","NAME","STATUS","TYPE","DESCRIPTION","PURPOSE","START DATE","END DATE","CURRENCY","AMOUNT",""
"Directorate of Buildings (DoB)","302","031/MOHRFQW025/FY19-20/02COVID 19LOT 1","Rehabilitation of Karonga and Mzuzu covid19 isolation centers","completion","rehabilitation","rehabilitation of rooms and purchase of new beds and beddings","to provide a good isolation facilities for covid19 patients","2020-07-30","2020-08-30","MWK","114120892.32",""
"Directorate of Buildings (DoB)","291","031/MOHRFQ/W24/FY19-20","Rehabilitation of Ebola shelter at kameza in blantyre to turn it into covid19 isolation centre","completion","replacement","Turn Ebola shelter into COVID 19 isolation center","to have a good isolation center for COVID patients at kameza","2020-06-08","2020-07-17","MWK","85818359.32",""
"Directorate of Buildings (DoB)","289","031/MOHRFQW025/FY19-20/02 COVID 19LOT2","Rehabilitation of Dedza and Mchinji Covid 19 Isolation Centres","completion","rehabilitation","rehabilitation of buildings, purchase of beds and beddings","to provide good and conducive isolation facilities for patients","2020-07-28","2020-08-30","MWK","114120892.32",""
"Directorate of Buildings (DoB)","276","MRA/M-WORKS/01/2020/010","Completion of domestic taxes annex building- Lilongwe","completion","construction","building of annex and its associated works","for proper management of government revenue","2020-05-18","2020-11-29","MWK","23557749.69",""
"Neno District Council","334","NDC/DDF-ZALEWA/22-23/01","CONSTRUCTION OF  ZALEWA  TRUCK YARD DRAINS  AND  MASONRY RETAINING WALLS","implementation","construction","CONSTRUCTION  OF  ZALEWA TRUCK YARD DRAINS  AND MASONRY  RETAINING WALLS","The  main  aim  is to  reduce   congestion   of   trucks  at  Zalewa  trading  centre , in so doing  generating  revenue  for  the   the council.","2022-12-09","2023-06-30","MWK","12740775.00",""
"Neno District Council","338","NDC/CDF-NORTH/22-23/04","MAINTENANCE  OF  CHILIM'BONDO  AND MPIMBI SCHOOL BLOCKS","completed","rehabilitation","maintenance  of   classroom  blocks  which  were  blown  away  by  cyclone winds.","to  reinstate  the  building  to  its   function  of accommodating  students.","2023-01-17","2023-03-31","MWK","9814908.05",""
"Blantyre City Council","339","BCC/RFA-MAK-EME/5/3/2/2022-23","Emergency Civil Works for the Construction of Box Culvert at Makalanga(Chilaweni Bridge) across Nkolokoti Parkway","implementation","construction","Construction of Box Culvert","Provide access","2023-04-19","2023-08-31","MWK","962000000.00",""
"Neno District Council","340","NNDC/CDF-SOUTH/CHIDIDIDRIFT/22/11","CONSTRUCTION OF  CHIDIDI  DRIFT","completed","construction","CONSTUCTION OF  CHIDIDI  DRIFT  AT  T/A  MLAULI NENO  SOUTH","EASE  TRANSPORT  PROBLEMS  IN   LOCAL AREA","2022-11-24","2023-03-31","MWK","8477557.50",""
"Neno District Council","344","NDC/CDF-SOUTH-MAGALETACBCC/2022-23/01","MAINTENANCE  OF MWAIWATHU  CBCC  KITCHEN","completed","rehabilitation","MAINTENANCE  OF  MWAIWATHU  CBCC KITCHEN  WHICH  WAS  IN A DELAPIDATED  STATE.","TO  KEEP  THE  STRUCTURE  IN  GOOD  USE  FOR  LOCAL  RESIDENTS.","2022-11-24","2023-03-31","MWK","2950000.00",""
"Neno District Council","345","NNDC/CDF-SOUTH/POLICECHIFUNGA/22/08","CONSTRUCTION WORKS OF CHIFUNGA POLICE UNIT","implementation","construction","CONSTRUCTION  OF  CHIFUNGA POLICE UNIT  IN  SOUTH CONSTITUENCY","PROVIDE  SECURITY  TO  THE  COMMUNITY","2022-11-24","2023-03-31","MWK","44830245.00",""
"Neno District Council","357","265","Construction of Pit Latrine and Rehabilitation of Lisungwi Police Unit","completed","construction","Construction of pit latrine and rehabilitation of Lisungwi Police Unit","Enforcement of law and order","2022-11-24","2023-03-31","MWK","7707407.01",""
"Neno District Council","358","265","Construction of Phwadzi Timber Deck Bridge","completed","construction","Construction of Phwadzi Timber Deck Bridge","To ease transportation problems","2022-11-24","2023-03-31","MWK","12101550.00",""
"Neno District Council","359","265","Construction of Kalumbe Timber Deck Bridge","completed","construction","Construction of Kalumbe Timber Deck Bridge","To ease transport problems in the area","2022-11-24","2023-03-31","MWK","8839962.50",""
"Neno District Council","360","265","Construction of Naminjale Timber Deck Bridge","completed","construction","Construction of Naminjale Timber Deck Bridge","To ease transportation problems","2022-11-24","2023-03-31","MWK","6774539.63",""
"Neno District Council","361","265","Construction of Two Double Pit Latrrines at Chikonde Primary School","implementation","construction","Construction of two double pit latrines","To aid with sanitation problems the school had encountered","2023-01-17","2023-03-31","MWK","8988469.34",""
"Neno District Council","362","265","Construction of a Low Cost Classroom Block at Mfunda Primary School","implementation","construction","Construction of a low cost classroom block","To reduce pupil classroom ratio","2023-01-17","2023-03-31","MWK","16748895.00",""
"Dowa District Council","301","MW-DDC-316459-CW-RFQ","Construction of Mdika Irish Bridge","implementation","construction","Construction of Mdika Irish Bridge and Associated Drainage","Construction of a Bridge","2023-02-09","2023-04-30","MWK","10470400.00",""
"Dowa District Council","287","MW-DDC316277-CW-RFB","Construction of Chinkhwiri Police Unit (Administration Block)","implementation","construction","Construction of  administration Block at Chinkhwiri Police Unit","Construction of administration Block","2023-02-19","2023-05-18","MWK","71772836.72",""
"Lilongwe Water Board","364","LWB-IFP","LILONGWE WATER BOARD INTERNALLY FUNDED PROJECTS","implementation","expansion","The Project involves expansion and rehabilitation of the water supply infrastructure. Further, the project aims at enhancing business for LWB.","To increase access of potable water in the LWB's supply area.","2020-07-01","2025-07-31","MWK","60000000000.00",""
"Lilongwe Water Board","293","LWB-RfRCI","RELOCATION OF PIPES FOR ROAD CAPACITY IMPROVEMENT","implementation","replacement","The project aims at relocating existing pipelines to pave way for the improvement of road capacities in the city of Lilongwe.","The objective is to allow for a continuous water supply by avoiding damage to the water pipes should they remain under the driveways.","2020-07-01","2025-06-30","MWK","7000000000.00",""
"Lilongwe Water Board","366","EIB no. 2013-0566","LILONGWE WATER RESOURCE EFFICIENCY PROGRAMME","implementation","rehabilitation","Medium-term investment programme to optimise available water resources, bridging the gap in water demand in Malawi's fast-growing capital city. The project's main components consist of upgrading a dam that is Lilongwe's primary water source, extending water-treatment works, reducing leakages and improving network management.","The objective of the project is to ensure adequate water availability for the population of Lilongwe","2015-06-12","2022-10-31","EUR","28800000.00",""
"Lilongwe Water Board","367","EIB-MW-LDRP-01","LILONGWE DROUGHT RESILIENCE PROGRAMME","implementation","expansion","The project seeks to expand the Water Treatment Facilities by providing an additional 50 000m3/day.","At the end of the project, it is expected that there will be increased access to potable water as the additional water production capacity shall meet the demand of Lilongwe City and Surrounding Areas.","2020-12-23","2024-03-31","EUR","15000000.00",""
"Roads Authority","368","MW-RA-215215-CW-RFB","CONSTRUCTION/REHABILITATION OF TRAUMA UNIT Dedza District Hospital","implementation","rehabilitation","The Government of Malawi through the Roads Authority is implementing Trauma Units in 4 No. Health Facilities and the Rehabilitation of the Referral Hospital Trauma Unit in Blantyre along M1 Road between Blantyre and Lilongwe. This is to provide speedy medical attention/help to those involved in road accidents along the M1 road.","The Trauma Units as designed shall be a fully established facility for the treatment of patients suffering from major traumatic injuries. The facilities will be an expansion programme at four District hospitals of Ntcheu, Dedza, Balaka and Lisungwi/QUECH. •	The Trauma Units will assist in the treatment of emergency road accident victims on the M1 road. •	The people around the area of the Trauma project will also benefit by being employed in various work activities by the Contractor.","2022-05-04","2022-12-03","MWK","424812686.55",""
"Roads Authority","370","MW-RA-235872-CW-RFB","CONSTRUCTION/REHABILITATION OF TRAUMA UNITS Ntcheu District Hospital","implementation","rehabilitation","The Government of Malawi through the Roads Authority is implementing Trauma Units in 4 No. Health Facilities and the Rehabilitation of the Referral Hospital Trauma Unit in Blantyre along M1 Road between Blantyre and Lilongwe. This is to provide speedy medical attention/help to those involved in road accidents along the M1 road.","The Trauma Units as designed shall be a fully established facility for the treatment of patients suffering from major traumatic injuries. The facilities will be an expansion programme at four District hospitals of Ntcheu, Dedza, Balaka and Lisungwi/QUECH. •	The Trauma Units will assist in the treatment of emergency road accident victims on the M1 road. •	The people around the area of the Trauma project will also benefit by being employed in various work activities by the Contractor.","2022-05-04","2022-12-05","MWK","378121472.44",""
"Roads Authority","372","MW-RA-215217-CW-RFB","CONSTRUCTION/REHABILITATION OF TRAUMA UNITS BALAKA DISTRICT HOSPITALS","implementation","rehabilitation","The Government of Malawi through the Roads Authority is implementing Trauma Units in 4 No. Health Facilities and the Rehabilitation of the Referral Hospital Trauma Unit in Blantyre along M1 Road between Blantyre and Lilongwe. This is to provide speedy medical attention/help to those involved in road accidents along the M1 road.","The Trauma Units as designed shall be a fully established facility for the treatment of patients suffering from major traumatic injuries. The facilities will be an expansion programme at four District hospitals of Ntcheu, Dedza, Balaka and Lisungwi/QUECH. •	The Trauma Units will assist in the treatment of emergency road accident victims on the M1 road. •	The people around the area of the Trauma project will also benefit by being employed in various work activities by the Contractor.","2022-05-04","2022-12-05","MWK","404975571.44",""
"Roads Authority","374","Contract No:MW-RA-235873-CW-RFB","CONSTRUCTION/REHABILITATION OF TRAUMA UNITS LISUNGWI COMMUNITY HOSPITAL/QUEEN ELIZABETH CENTRAL HOSPITAL","implementation","rehabilitation","The Government of Malawi through the Roads Authority is implementing Trauma Units in 4 No. Health Facilities and the Rehabilitation of the Referral Hospital Trauma Unit in Blantyre along M1 Road between Blantyre and Lilongwe. This is to provide speedy medical attention/help to those involved in road accidents along the M1 road.","The Trauma Units as designed shall be a fully established facility for the treatment of patients suffering from major traumatic injuries. The facilities will be an expansion programme at four District hospitals of Ntcheu, Dedza, Balaka and Lisungwi/QUECH. •	The Trauma Units will assist in the treatment of emergency road accident victims on the M1 road. •	The people around the area of the Trauma project will also benefit by being employed in various work activities by the Contractor.","2022-05-03","2022-12-05","MWK","464887002.00",""
"Mchinji District Council","373","MW-MCDC-318597-CW-RFB [LOT NO. 2]","Kadzala CDSS Girls Hostels","implementation","construction","Construction of girls hostel at Kanilika Village. TA Mavwere","To provide accommodation for girls at the school","2023-03-18","2023-07-16","MWK","179836983.60",""
"Nkhotakota District Council","376","KK DC/DDF/2022-2023-04","Rehabilitation of Dwambazi Market Shed","completed","rehabilitation","Construction of vending benches, storm water drains and painting","To boost local revenue","2022-12-15","2023-03-15","MWK","3942300.00",""
"Mchinji District Council","377","MW-MCDC-318596-CW-RFB [LOT NO.2]","Border Road and Drainage","implementation","construction","Construction of road and drainage at border","To improve road access and drainage system at border","2023-02-23","2023-05-24","MWK","18241297.50",""
"Mchinji District Council","378","MW-MCDC-318594-CW-RFB [LOT NO.3[C]]","Tembwe Dip Tank Rehabilitation","implementation","rehabilitation","Rehabilitation of Tembwe Dip tank","To control for livestock pest and diseases","2023-02-10","2023-06-10","MWK","8164340.00",""
"Dedza District Council","382","procurement number","Kamphemba primary school block","implementation","construction","construction of primary school block,  equiped with learners desks, teachers chairs","to improve access to education as well as increased enrolment to primary schools in dedza","2023-02-13","2023-05-14","MWK","53077518.74",""
"Kasungu District Council","385","001/GESD/53087/10/21/702","Construction of Chamama Market","implementation","construction","construction of open market shed, market kiosks , and a closed market shed.","To provide shelter for vendors and enhance district council revenue generation.","2021-12-01","2022-05-01","MWK","95000000.00",""
"Dedza District Council","387","procurement number","Kapanda Safe water Project","preparation","construction","construction of a solar powered reticulated water system,","the project will provide the surrounding communities with piped and safe water","2023-02-13","2023-05-14","MWK","35714119.56",""
"Nkhotakota District Council","389","KK DC/DDF/2022-2023-01","Dwangwa dumping site","completed","construction","Construction of Dwangwa dumping site","To ease rubbish and environmental hygiene","2022-12-15","2023-03-15","MWK","13861409.97",""
"Nkhotakota District Council","393","KK DC/DDF/2022-2023-01","Boma Dumping site","implementation","construction","Construction of Boma market dumping site","To ease trashes and environmental issues at the market","2022-12-15","2023-03-15","MWK","13902071.00",""
"Dedza District Council","396","procurement number","Tembetembe safe water project","implementation","construction","The construction of a solar powered reticulated safe water system .","The project will provide safe water to households in the surrounding areas","2023-02-14","2023-05-15","MWK","37374078.06",""
"Nkhotakota District Council","399","KK DC/DDF/2022-2023-04","Chugumula Stadium","implementation","construction","Construction of water drains and wiring of dressing rooms","To collect more revenue and promoting sporting activities","2022-12-15","2023-03-15","MWK","17173600.00",""
"Kasungu Municipal Council","369","KUMC/RMDB/7/2022-2023/11","REHABILITATION OF MAIN DAM BRIDGE AT CHITHIBA WARD","implementation","rehabilitation","The project involves replacement of flat sheets as a deck","To improve accessibility between Dam area and Ntambalala","2022-07-06","2024-03-31","MWK","8000000.00",""
"Nkhotakota District Council","401","KK DC/DDF/2022-2023-05","Bango to Mapala road reshaping","implementation","rehabilitation","Reshaping, spot graveling and drainage works","To ease transportation challenges","2022-12-15","2023-03-15","MWK","17422696.56",""
"Dedza District Council","402","procurement number","Kumitengo safe water project","implementation","construction","construction of  a solar powered reticulated safe water system, connected to taps in the surrounding communities","the project will provide safe water to the surrounding communities in the area","2023-02-13","2023-05-14","MWK","36951078.00",""
"Kasungu Municipal Council","394","KUMC/CMSK/07/2022-2023/10","CONSTRUCTION OF MARKET SHED AT KASALIKA MARKET","implementation","construction","The project involves brickwork, plastering and roofing","The purpose of the project is to house all market vendors under one roof and to prevent them from direct sunshine and rainfall","2022-07-06","2024-03-31","MWK","17000000.00",""
"Kasungu District Council","404","001/4109/12/22/800","construction of two classroom blocks with adjoined office for katchitsa primary school","implementation","construction","construction of two classroom block, adjoined office and a toilet  at Katchisa primary school","To provide conducive learning and teaching environment for school going children and teachers","2023-01-25","2023-05-31","MWK","70000000.00",""
"Mchinji District Council","405","MW-MCDC-318594-CW-RFB [LOT NO.2]","Mbingwa Livestock market","implementation","construction","Construction of Mbingwa livestock market","To provide platform for selling livestock","2023-02-08","2023-06-08","MWK","10924350.40",""
"Nkhotakota District Council","406","KK DC/DDF/2022-2023-02","Lozi Market Shed","implementation","construction","Construction of market shed and toilets","To boost local revenue","2022-12-15","2023-03-15","MWK","26987257.83",""
"Dedza District Council","407","procurement number","Mphanthi Primary school block","implementation","construction","construction of a primary school block , furnished with classroom desks and furnished staff room","The project will improve education stands in the district as well as increased enrolment.","2023-02-14","2023-05-15","MWK","59951427.68",""
"Kasungu District Council","409","MW-KDC-311884-CW-RFQ","construction of Kasikizi Bridge","implementation","construction","Construction of Kasikizi bridge","construction of Kasikizi bridge to  provide connectivity between Mtunthama communities and Chilowamatambe communities","2022-12-01","2023-05-31","MWK","54000000.00",""
"Ministry of Education","410","MoE_2023_001","Construction of 3 TTCs","implementation","construction","The Project involves the construction of Three Teacher Training Colleges (TTCs), one in each of the following districts: Mchinji, Chikwawa, and Rumphi; and the project has two lots with a total project cost of MK42 billion with BADEA, Saudi Fund for Development, and OPEC Fund for International Development providing 70% of the resources and Malawi Government providing counterpart funding of 30%.","To increase enrolment of primary school student teachers and improve equitable access to quality education in primary schools","2018-01-01","2024-03-31","MWK","42000000000.00",""
"Roads Authority","408","RA/DEV/RU/2021-22/01","Upgrading of 20 Kilometres of Rumphi - Nyika - Road (Lot 2) (Chikwawa-Bembe section)","implementation","construction","Pursuant to the Malawi Growth and Development Strategy (MGDSIII), 2018 and the Transport Master Plan, 2018 that are both recent policy documents that articulates issues related to both economic growth and development in the Transport Sector, the Government of the Republic of Malawi is upgrading the 20Km (Chikwawa Bembe Section) part of Rumphi Nyika road.","The Rumphi Nyika road was initially constructed to an earth road, reshaped over several years by Graders to form a well drained all weather road with several ring culverts along the entire length. The scope of work includes upgrading of the existing earth road to Class I bitumen standard i.e. 6.8m carriage width and 1.5m sealed shoulders on both sides. Both the Base and Sub-base layers will be constructed from locally sourced natural gravel materials of 150mm thick each. Surfacing is 50mm thick Hot Mix Asphalt. The project will have many benefits to the people along the road and to the country as a whole. Some of the benefits will include; Reduced road maintenance costs, vehicle operating and passenger travel costs, ease problems of transporting farm inputs and produce to and from various markets, reduce the occurrence of dust and mud along the project area, employment creation, business boosting and boost tourism.","2022-08-24","2023-08-23","MWK","7694092436.93",""
"Mchinji District Council","411","MW-MCDC-318596-CW-RFB [LOT NO.6]","Chithumba Bridge","implementation","construction","Construction of chithumba bridge","To ease road access","2023-04-08","2023-07-07","MWK","29055192.75",""
"Dedza District Council","413","procurement number","Namakasu police Unit","implementation","construction","Construction of a police  unit with a double VIP latrine","The project will improve the level of security in the area as well as increasing the presence of police officers to assist reducing crime.","2023-02-14","2023-05-14","MWK","79516094.42",""
"Kasungu District Council","414","MW-KDC-311883-CW-RFQ","construction of Tchesa EPA office","implementation","construction","construction of Tchesa EPA office","To enhance agricultural extension services","2022-12-01","2023-05-31","MWK","55000000.00",""
"Salima District Council","415","MW/SADC/DDF/60601","Thundu Teachers House","completed","construction","Construction of 1  teachers house and 1 VIP Toilet","The project is trying to address issues of High Illiteracy rate in the locality.","2021-12-21","2022-04-03","MWK","23846827.80",""
"Mchinji District Council","416","MW-MCDC-318596-CW-RFB [LOT NO.5]","Chizeze/Kalulu Bridge","implementation","construction","Construction of Chizeze Kalulu Bridge","To ease road access and transportation","2023-04-09","2023-07-08","MWK","11423650.00",""
"Salima District Council","400","MW/SADC/DDF/60601","Kamphinda Police unit","implementation","construction","Construction of Office Block, 1 staff house and 1 double VIP pit latrine","The project is trying to address issues of high crime rate in the locality.","2021-12-12","2022-03-31","MWK","52498096.79",""
"Dedza District Council","418","procurement number","Chinkombero Health centre","implementation","construction","Construction of 2 staff houses, 2 VIP latrines completion of Maternity  wing, rehabilitation of the dispensary","The project will improve health service delivery in area through provision of maternity service which are not available in the area","2023-02-13","2023-05-14","MWK","181825019.70",""
"Nkhotakota District Council","419","MW-KKDC-310960-CW-RFB","Benga Market Shed","implementation","construction","Construction of Market Shed and Toilets","To boost local revenue","2023-02-21","2023-05-22","MWK","39585393.00",""
"Balaka District Council","397","BLK-GESD-2-8","Construction of Concrete Refuse Bins","preparation","construction","Construction of Concrete Refuse Bins (10)","Improve sanitation at Balaka Town and other trading centres","2022-04-01","2023-03-30","MWK","32886362.50",""
"Balaka District Council","391","BLK-GESD-2-7","Construction of Nkaya Health Post","implementation","construction","Construction of Nkaya Health Post with 3 Toilets and Furniture","Improve access to health services at community level","2022-04-01","2023-03-30","MWK","92725850.56",""
"Kasungu District Council","412","MW-KDC-311880-CW-RFQ","construction of Kapelula Police Unit","implementation","construction","construction of Police unit office and pit latrine; one staff house with pit latrine","To enhance security in Kasungu east constituency","2022-12-01","2023-05-31","MWK","90000000.00",""
"Balaka District Council","381","BLK-GESD-2-9","Mulunguzi Health Post","implementation","construction","Construction and rehabilitation of health centres","Improve access to health services at community level","2022-04-01","2023-03-30","MWK","92913274.25",""
"Mchinji District Council","422","MW-MCDC-318594-CW-RFB [LOT NO. 10]","Double VIP toilet at kamwendo","implementation","construction","Construction of Double VIP toilet","To promote sanitation at the market","2023-03-18","2023-06-16","MWK","3963125.00",""
"Balaka District Council","388","BLK-GESD-2-6","Construction of Mkasi CDSS School Blocks","implementation","construction","Construction of Mkasi CDSS School Blocks (2) with three (3) Toilets, Furniture & Borehole","Improve access to secondary education","2022-04-01","2023-03-30","MWK","97647278.50",""
"Dowa District Council","286","MW-DDC-316277-CW-RFB","Construction of Nalunga Police Senior Staff House","implementation","construction","Construction of Staff House at Nalunga Police Unit","Construction of a House","2023-02-21","2023-05-20","MWK","71585854.44",""
"Nkhotakota District Council","423","MW-KKDC-310959-CW-RFB","Mwansambo Maternity Ward","implementation","construction","Construction of new maternity ward","To improve health services and reduce maternal death","2023-02-21","2023-06-21","MWK","112170755.22",""
"Kasungu District Council","424","MW-KDC-311880-CW-RFQ","construction Chisinga police staff houses","implementation","construction","construction of  two staff houses at Chisinga police unit","to enhance security in Kasungu north west constituency","2022-12-01","2023-05-31","MWK","75600000.00",""
"Dedza District Council","425","procurement number","Lombodzi primary school block","implementation","construction","Construction of 2 classroom blocks and a staff room equiped with teachers chairs and desks for the learners","the project will improve the education status in the area as well as increasing primary school enrolment","2023-02-13","2023-05-14","MWK","46330959.55",""
"Nkhotakota District Council","426","MW-KKDC-310961-CW-RFB","Nkhunga Wards","implementation","construction","Construction of New Male and Female wads","To improve health services","2023-02-21","2023-06-21","MWK","268132249.29",""
"Mchinji District Council","427","MW-MCDC-340785-CW-RFB","Boma Community Ground","implementation","construction","Construction of stadium","For income generation and recreation Centre","2023-03-11","2023-07-09","MWK","65780039.00",""
"Dedza District Council","428","procurement number","Katongole primary school block","implementation","construction","Construction of a 2 classrooms, plus staff room, furnished with learners desks as well as teachers chairs","the school block with improve the education delivery in the area as well as increase enrolment of primary school learners","2023-02-13","2023-05-14","MWK","58885455.74",""
"Dowa District Council","430","MW-DDC-316466-CW-RFB","Completition of Chibanzi Health post","completion","construction","Construction of Health Post","Provision of Health Services","2023-02-06","2023-05-17","MWK","39396474.61",""
"Salima District Council","431","MW/SADC/GESD/60601","Upgrading of Community ground","implementation","construction","Demolition of existing structure, construction of perimeter fence, football pitch, 1 ablution block, 4 ticket offices","To address issues of low revenue collection  and provision of a modern social amenity.","2022-04-12","2023-03-12","MWK","240727841.73",""
"Dedza District Council","432","procurement number","Kamtambo Teacher House","implementation","construction","The project will construct 1 teacher house with 2 VIP latrines","the staff houses will health in the education delivery through improving the welfare of the teachers.","2023-02-13","2023-05-14","MWK","59219001.25",""
"Dowa District Council","435","MW-DDC316466-CW-RFB","Completion of Kawangi Girls Hostel","completion","construction","Completion of Kawangi Girls Hostel in TA chiwere","Provision of Education Services","2023-02-06","2023-05-31","MWK","24174680.55",""
"Dedza District Council","437","procurement number","Madzumbi Health unit","implementation","construction","construction of a health unit with 2 VIP latrines","The project will improve the health service delivery in the area through improved staff welfare at the health facility","2023-02-13","2023-05-14","MWK","89294486.58",""
"Roads Authority","436","RA/DEV/CP/2022-23/01","UPGRADING OF CHITIPA – ILOMBA (T301/D002) ROAD IN CHITIPA","implementation","construction","The project road is approximately 31km of road section from Chitipa to Ilomba (Tanzania Border). The project will be executed in three (3) Lots.   •	The first lot (Lot 1) covers a distance of 10km from Chitipa, km 0+000 to km 10+000;    •	The second lot (Lot 2) covers a distance of 10km from km 10+000 to km 20+000; and   •	The third lot (Lot 3) covers a distance of 11km from km 20+000 to km 31+000.","The scope of works involves upgrading works from earth to bitumen standard with improvements to horizontal and vertical alignments. The works will also include construction of bridges, box culverts and installation of numerous pipe culverts. Reduction in Vehicle Operating Costs Upgrading of the road will result in reduction of vehicle operating costs which constitutes the major benefit attributable to such new projects.  		 Reduction in Travel Time and Cost  The project will help reduce travel time from the agricultural areas.  Passengers will now be paying less and spending less time on travel. Availability of buses and minibuses will greatly improve. Agriculture The area where the road passes is an agricultural area for mainly Irish potatoes and maize. The upgrading of the road will ease problems of transporting farm inputs and produce to and from various markets. Environmental and Health The upgrading will reduce the occurrence of dust and mud along the project area and thereby improving sanitation which means reduction in the spread of diseases which are airborne or waterborne. This will reduce the cost of medicines which would have been required to treat the people affected. The upgrading of the road will allow the communities good access to health facilities in town especially for referral cases.","2022-12-08","2024-06-08","MWK","34482770777.05",""
"Dowa District Council","441","MW-DDC316277-CW-RFB","Construction of Madisi Rest House Fence","completion","construction","Construction of Madisi Rest House Fence","Provision of Economy","2023-02-06","2023-05-17","MWK","26999400.60",""
"Mchinji District Council","443","MW-MCDC-318597-CW-RFB [LOT NO. 20]","Boma Taxi Ranking Rehabilitation","implementation","rehabilitation","Rehabilitation of Boma Taxi Rank","To improve drainage system and condition of the taxi rank","2023-03-03","2023-06-01","MWK","5996016.17",""
"Salima District Council","444","MW/SADC/GESD/60601","Electrification of Mnema Health Centre","completed","expansion","Connection of electricity to the maternity block","The project is trying to address issues of maternal deaths hence reduce mortality rate in the locality.","2022-09-14","2022-12-15","MWK","1449996.27",""
"Salima District Council","447","MW/SADC/DDF/60601","Operationalise a paying ward at Salima District Hospital","implementation","rehabilitation","Refurbishment, carpentry, plumbing, painting and electrical works","To address the issue of low revenue collection and improve of social amenity","2022-09-14","2022-12-20","MWK","20000000.00",""
"Salima District Council","440","MW/SADC/GESD/60601","Construction of Kambwiri police unit","implementation","construction","Construction of Police office block and 2 police houses and 6 VIP Pit latrines,  and  borehole.Procurement of office furniture (3 office desks, 3 chairs, 3 benches, 2 filing cabinets) at Kambwiri Police Unit","To address issues of high crime rate","2022-08-25","2022-12-20","MWK","192000000.00",""
"Ntchisi District Council","379","NS/IPDAC/GESD/WKS/2021-22/01-LOT 7","Rehabilitation of Chandawe Health Post- Maternity Wing","completed","rehabilitation","The project sought to rehabilitate the maternity wing at Chandawe Health Post","Reduce Mother and Infant mortality rate,  through provision of conducive environment for  child delivery.","2021-12-29","2022-03-31","MWK","23000000.00",""
"Ntchisi District Council","380","NS/IPDAC/GESD/WKS/2021-22/01 LOT 2","Staff House at Mzandu Health Centre","completion","construction","Construction of One Staff House at Mzandu Health Centre","To increase number of staff accommodation","2021-12-29","2022-03-31","MWK","29110800.00",""
"Ntchisi District Council","386","NS/IPDAC/GESD/WKS/2021-22/01-LOT 6","Rehabilitation of Maternity wing at Sambakusi  Health Center.","completed","construction","To rehabilitate the maternity wing at Sambakusi Health post.","To reduce Mother and Infant mortality rate,  through provision of conducive environment for  child delivery","2021-12-29","2022-03-31","MWK","17000000.00",""
"Ntchisi District Council","398","NS/IPDAC/GESD/WKS/2021-22/01","Solar water System at Kandodo Village","completed","construction","Drilling & Installation of Mechanized Solar Water System","To improve access to water which is essential for hygiene and sanitation.","2021-12-29","2022-03-31","MWK","18000000.00",""
"Ntchisi District Council","292","NS/IPDAC/NCB/22/GESD/WK/02","Construction of Chinkhande Maternity wing","implementation","construction","Construction of Maternity Wing and associated external works","Support towards health delivery","2023-02-20","2023-06-30","MWK","237972400.00",""
"Ntchisi District Council","392","NS/IPDAC/22/RFQ/WKS/01","Construction of kansonga police staff house","completed","construction","Construction of 1t staff house for Kansonga Police Unit","To increase police staff accommodation, that will allow the increased presence of police staff in the community","2022-03-01","2022-04-30","MWK","29000000.00",""
"Ministry of Education","448","MoE_2023_002","Construction of Girls Hostel Project - Phase III","implementation","construction","Construction of twelve (12) Girls’ Hostels in selected Community Day Secondary schools","To increase access and equity to secondary education for all eligible students, with particular focus on girls, vulnerable groups and other categories of students that find access difficult, including those travelling longer distances in rural areas.","2018-07-01","2019-06-30","MWK","12500000000.00",""
"Ministry of Education","449","MoE_2023_003","Construction of Primary Schools and Rehabilitation of Education facilities","implementation","construction","Construction of 14 Urban Primary Schools in Blantyre, Lilongwe, Mzuzu and Zomba","To decongest some of the highly populated urban primary schools","2018-07-01","2019-06-30","MWK","10000000000.00",""
"Ministry of Education","450","MoE_2023_004","Construction of Laboratory / Library blocks in 29 Selected Community Day Secondary Schools.","implementation","construction","Construction of Laboratory and Library blocks","To increase access and equity to secondary education for all eligible students, with particular focus on girls, vulnerable groups and other categories of students that find access difficult, including those travelling longer distances in rural areas.","2017-04-01","2017-10-01","MWK","5000000000.00",""
"Lilongwe District Council","451","LDC/GESD/2022-2023/CDB/01GLOT6","CONSTRUCTION OF KAPANGALIKA CONCRETE DECK AT NAMBUMA RIVER","implementation","construction","CONSTRUCTION OF KAPANGALIKA CONCRETE DECK AT NAMBUMA RIVER","TO IMPROVE QUALITY OF TRANSPORTATION OVER NAMBUMA RIVER","2023-01-13","2023-04-13","MWK","45000000.00",""
